"Microsoft Corporation"
"Date","High","Low","Close","Volume"
"10 Sep 92", 79.000, 77.500, 79.000,1670000
"11 Sep 92", 79.250, 78.000, 78.750, 962000
"14 Sep 92", 82.000, 79.750, 81.750,2970000
"15 Sep 92", 81.750, 80.000, 81.250,1390000
"16 Sep 92", 81.750, 79.500, 80.375,1120000
"17 Sep 92", 81.500, 80.250, 81.125, 737000
"18 Sep 92", 81.500, 78.375, 79.875,2230000
"21 Sep 92", 79.500, 78.250, 79.125, 994000
"22 Sep 92", 79.125, 77.500, 77.750, 962000
"23 Sep 92", 79.750, 77.500, 79.125,1180000
"24 Sep 92", 80.500, 79.250, 80.250,1150000
"25 Sep 92", 80.375, 76.000, 78.750,1280000
"28 Sep 92", 78.250, 76.250, 77.000,1650000
"29 Sep 92", 79.000, 77.000, 78.750,1230000
"30 Sep 92", 80.500, 78.750, 80.500,1870000
"01 Oct 92", 81.000, 79.500, 79.625,1490000
"02 Oct 92", 79.750, 78.000, 78.750,1150000
"05 Oct 92", 81.750, 75.750, 81.750,2230000
"06 Oct 92", 83.500, 81.250, 82.500,2340000
"07 Oct 92", 84.250, 81.000, 81.125,1820000
"08 Oct 92", 84.500, 81.750, 83.375,1840000
"09 Oct 92", 83.500, 81.500, 82.375,1260000
"12 Oct 92", 84.000, 82.750, 83.875,1080000
"13 Oct 92", 85.375, 83.250, 84.250,2710000
"14 Oct 92", 85.000, 83.000, 83.500,1480000
"15 Oct 92", 84.750, 82.750, 84.500,1120000
"16 Oct 92", 85.500, 83.750, 85.375,1490000
"19 Oct 92", 88.250, 85.000, 87.875,2600000
"20 Oct 92", 89.750, 87.000, 87.875,2630000
"21 Oct 92", 90.000, 87.750, 90.000,1890000
"22 Oct 92", 90.250, 88.250, 89.750,1540000
"23 Oct 92", 90.250, 88.250, 88.625,1440000
"26 Oct 92", 90.250, 87.750, 90.000,1230000
"27 Oct 92", 90.250, 87.500, 88.000,1530000
"28 Oct 92", 88.750, 87.250, 88.500,1130000
"29 Oct 92", 90.000, 88.500, 90.000,1020000
"30 Oct 92", 90.000, 88.500, 88.750, 769000
